country,population,date,active_cases,cases_per_million,total_cases,deaths_per_million,total_deaths,tests_per_million,total_tests,CFR
Israel,9326000,2026-02-16,30592,519169,4841772,1363,12707,4436346,41373364,0.262445236991746
Thailand,70078203,2026-02-16,42927,68069,4770149,494,34586,246488,17273454,0.7250507269269786
Czechia,10736784,2026-02-16,318,443246,4759041,4053,43517,5386552,57834241,0.914406915174717
Peru,33684208,2026-02-16,0,135751,4572667,6595,222161,1158115,39010194,4.858455688988505
Switzerland,8773637,2026-02-16,292,507549,4453053,1647,14452,2716487,23833472,0.3245413876726821
Philippines,112508994,2026-02-16,6138,36800,4140383,594,66864,320888,36102746,1.6149230638808052
Romania,19031335,2026-02-16,657,185470,3529735,3622,68929,1511122,28758667,1.9528094885310088
Denmark,5834950,2026-02-16,0,545636,3183756,1511,8814,22165247,129333107,0.27684282338219385
Singapore,5943546,2026-02-16,0,505785,3006155,341,2024,4165302,24756666,0.06732853096397225
Hong-Kong,7604299,2026-02-16,6680,386309,2937609,1963,14924,10011143,76127725,0.5080322125919413
Sweden,10218971,2026-02-16,230,269511,2754129,2682,27407,1908301,19500873,0.9951240482925817
New-Zealand,4898203,2026-02-16,1623,535117,2621111,1163,5697,1586011,7768604,0.21735058149006278
Serbia,8653016,2026-02-16,389,302213,2615054,2087,18057,1555958,13463733,0.6905019934578789
Iraq,42164965,2026-02-16,673,58474,2465545,602,25375,463523,19544451,1.029184216876999
Hungary,9606259,2026-02-16,29029,232164,2230232,5106,49048,1186160,11394556,2.1992330842710532
Bangladesh,167885689,2026-02-16,0,12207,2049377,176,29493,90862,15254399,1.4391202789921036
Slovakia,5460193,2026-02-16,0,343872,1877605,3887,21224,1364199,7448789,1.1303761973365005
Georgia,3968738,2026-02-16,0,469082,1861665,4317,17132,4263340,16920079,0.9202514953012492
Spain,46719142,2026-02-16,30634,297840,13914811,2606,121760,10082298,471036328,0.8750388345195634
USA,334805269,2026-02-16,786167,333985,111820082,3642,1219487,3544901,1186851502,1.090579597321347
India,1406631776,2026-02-16,0,32016,45035393,379,533570,665334,935879495,1.1847792690517878
France,65584518,2026-02-16,0,612013,40138560,2556,167642,4139547,271490188,0.41765823188475126
Germany,83883596,2026-02-16,405368,462891,38828995,2182,183027,1458359,122332384,0.47136682265405017
Brazil,215353593,2026-02-16,1783377,179908,38743918,3303,711380,296146,63776166,1.8361075408016299
S-Korea,51329899,2026-02-16,0,673523,34571873,700,35934,307892,15804065,0.10393998612687255
Japan,125584838,2026-02-16,0,269169,33803572,595,74694,799578,100414883,0.2209648140143296
Italy,60262770,2026-02-16,165544,443445,26723249,3261,196487,4665010,281126449,0.7352661347428225
UK,68497907,2026-02-16,0,363666,24910387,3389,232112,7628357,522526476,0.9317880127675254
Russia,145805947,2026-02-16,175641,165454,24124215,2762,402756,1875095,273400000,1.6695092462075969
Turkey,85561976,2026-02-16,0,201399,17232066,1194,102174,1902052,162743369,0.59292948390518
Australia,26068792,2026-02-16,8716,454687,11853144,937,24414,3142326,81916639,0.20597066904780706
Vietnam,98953541,2026-02-16,941018,117481,11625195,437,43206,867342,85826548,0.37165828186107847
